               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.025614,            0.011977,           0.0082337,             0.75861,             0.75774,             0.76537,             0.51837,            0.029646,           0.0072398,            0.015118,            0.070087,           0.0033236,           0.0033236
                   1,            0.027332,            0.011808,           0.0071054,             0.76856,             0.74282,             0.76437,             0.49001,            0.030434,           0.0073058,            0.015195,            0.039868,           0.0064373,           0.0064373
                   2,             0.03036,            0.012817,           0.0096531,             0.68806,              0.6949,             0.73838,             0.45839,            0.032605,           0.0075294,            0.017333,           0.0094281,           0.0093309,           0.0093309
                   3,            0.033538,             0.01375,            0.014042,             0.61273,               0.682,             0.64304,             0.40243,            0.033271,            0.007451,            0.025068,             0.00901,             0.00901,             0.00901
                   4,            0.034097,             0.01437,            0.014757,             0.69842,             0.61263,             0.64833,             0.39258,             0.03534,           0.0083994,            0.024706,             0.00901,             0.00901,             0.00901
                   5,            0.033968,            0.014339,            0.013982,             0.68334,             0.70254,             0.69606,             0.41745,            0.033234,           0.0075624,             0.02066,             0.00868,             0.00868,             0.00868
                   6,            0.033589,            0.014126,             0.01304,             0.75331,             0.66372,              0.6965,             0.41966,            0.034093,           0.0080565,            0.022401,             0.00835,             0.00835,             0.00835
                   7,            0.032908,            0.014093,            0.012047,             0.70083,              0.7004,             0.70273,             0.44872,            0.032156,           0.0070954,            0.013535,             0.00802,             0.00802,             0.00802
                   8,            0.032626,             0.01357,            0.011603,             0.73251,             0.69522,             0.75373,             0.47543,            0.031054,            0.007284,            0.016347,             0.00769,             0.00769,             0.00769
                   9,            0.031944,            0.013551,            0.011186,             0.70985,             0.73447,             0.73869,             0.46696,            0.031408,            0.007201,            0.017194,             0.00736,             0.00736,             0.00736
                  10,            0.031897,            0.013256,           0.0099656,             0.71541,             0.79094,              0.7689,             0.50053,            0.031963,           0.0070414,            0.015297,             0.00703,             0.00703,             0.00703
                  11,             0.03122,            0.013027,           0.0098659,             0.75906,             0.71122,             0.76078,             0.50106,            0.030908,           0.0070947,            0.016899,              0.0067,              0.0067,              0.0067
                  12,            0.030654,            0.012873,           0.0084119,             0.76422,              0.7619,             0.77753,             0.51941,            0.029449,           0.0069028,            0.017619,             0.00637,             0.00637,             0.00637
                  13,            0.030256,            0.012864,             0.00886,             0.69847,             0.75466,             0.73913,             0.47727,            0.031107,            0.007026,            0.016729,             0.00604,             0.00604,             0.00604
                  14,            0.029664,            0.012869,           0.0082952,             0.79853,             0.77222,             0.80555,             0.52287,            0.029795,           0.0067931,            0.016009,             0.00571,             0.00571,             0.00571
                  15,            0.028998,            0.012359,           0.0076069,             0.78182,             0.76217,             0.78446,             0.51164,            0.030851,           0.0071982,            0.013595,             0.00538,             0.00538,             0.00538
                  16,            0.028441,            0.012418,           0.0071805,             0.79488,             0.69896,             0.78455,             0.52436,             0.03028,             0.00696,             0.01392,             0.00505,             0.00505,             0.00505
                  17,            0.027991,            0.012208,           0.0069557,             0.76354,             0.81312,             0.80871,             0.53209,            0.028144,           0.0068479,             0.01368,             0.00472,             0.00472,             0.00472
                  18,            0.027869,            0.011999,           0.0065781,             0.81622,             0.78453,             0.80592,             0.53309,            0.028969,            0.006857,            0.015479,             0.00439,             0.00439,             0.00439
                  19,            0.028306,            0.011895,           0.0068193,             0.76524,              0.7856,             0.79817,             0.52781,            0.029798,           0.0068897,            0.014409,             0.00406,             0.00406,             0.00406
                  20,            0.026822,            0.011913,           0.0058132,             0.79059,             0.78682,             0.81207,             0.54803,            0.029586,           0.0065663,            0.012508,             0.00373,             0.00373,             0.00373
                  21,            0.026474,            0.011524,           0.0057176,             0.83962,             0.80067,             0.83953,             0.56824,            0.028667,           0.0066982,            0.011408,              0.0034,              0.0034,              0.0034
                  22,            0.026183,            0.011421,           0.0056162,             0.81094,             0.81574,             0.81514,             0.55366,             0.02901,           0.0066156,            0.014561,             0.00307,             0.00307,             0.00307
                  23,            0.025768,            0.011082,           0.0053702,             0.78368,             0.81415,             0.83137,             0.55849,            0.028606,           0.0066753,            0.012687,             0.00274,             0.00274,             0.00274
                  24,            0.025008,            0.011198,           0.0049137,             0.82395,             0.78264,             0.82381,             0.56302,            0.029289,           0.0065141,            0.012212,             0.00241,             0.00241,             0.00241
                  25,            0.025161,            0.010963,           0.0046795,             0.78594,             0.82514,             0.81672,             0.55674,            0.028643,           0.0065185,            0.012953,             0.00208,             0.00208,             0.00208
                  26,             0.02462,            0.010861,            0.004936,             0.81735,              0.8416,             0.84433,             0.57429,            0.028533,           0.0063889,            0.012634,             0.00175,             0.00175,             0.00175
                  27,            0.024255,            0.010661,           0.0047573,             0.79313,             0.82602,             0.82465,             0.56778,            0.028578,           0.0065118,            0.013643,             0.00142,             0.00142,             0.00142
                  28,            0.024122,            0.010591,           0.0039885,             0.78213,             0.84365,             0.82947,             0.57214,            0.028217,           0.0064949,            0.012146,             0.00109,             0.00109,             0.00109
                  29,            0.023483,            0.010698,           0.0038932,             0.78629,             0.84862,             0.83185,             0.57314,            0.027998,           0.0065933,            0.012256,             0.00076,             0.00076,             0.00076
